Rank,Name,Position,Team,Projected PPR Points,Injury Status
296,KeAndre Lambert-Smith,WR,LAC,2.29,Active
297,Jerome Ford,RB,WAS,2.28,Active
298,Rasheen Ali,RB,BAL,2.28,Active
299,Van Jefferson,WR,WAS,2.28,Active
300,Will Shipley,RB,PHI,2.24,Active
301,Josh Oliver,TE,MIN,2.23,Questionable
302,Mitchell Evans,TE,CAR,2.19,Active
303,Konata Mumpfield,WR,LAR,2.17,Active
304,Keon Coleman,WR,BUF,2.16,Active
305,John Bates,TE,WAS,2.15,Active
306,Tommy Tremble,TE,CAR,2.13,Active
307,Jawhar Jordan,RB,HOU,2.1,Active
308,Cade Stover,TE,HOU,2.09,Active
309,CJ Daniels,WR,LAR,2.08,Active
310,Treylon Burks,WR,WAS,2.08,Active
311,Tyler Higbee,TE,LAR,2.03,Active
312,Luke Schoonmaker,TE,DAL,2.03,Active
313,Jackson Hawes,TE,BUF,2.03,Active
314,Cyrus Allen,WR,KC,2.01,Active
315,Kaelon Black,RB,SF,2.0,Active
316,Demond Claiborne,RB,MIN,1.99,Active
317,Isaiah Bond,WR,CLE,1.96,Active
318,Dont'e Thornton,WR,LV,1.95,Active
319,Sam Roush,TE,CHI,1.91,Active
320,Adam Trautman,TE,DEN,1.89,Active
321,Marlin Klein,TE,HOU,1.86,Questionable
322,Kaytron Allen,RB,WAS,1.84,Active
323,Ben Sinnott,TE,WAS,1.83,Active
324,Drew Sample,TE,CIN,1.83,Active
325,Bo Melton,WR,GB,1.82,Active
326,Grant Calcaterra,TE,PHI,1.81,Active
327,Demarcus Robinson,WR,SF,1.8,Active
328,Anthony Richardson,QB,IND,1.78,Active
329,DJ Giddens,RB,IND,1.77,Active
330,Trevor Etienne,RB,CAR,1.76,Active
331,Joshua Palmer,WR,BUF,1.76,Active
332,Efton Chism,WR,NE,1.72,Active
333,Tai Felton,WR,MIN,1.67,Active
334,Tahj Brooks,RB,CIN,1.6,Active
335,Bryce Lance,WR,NO,1.6,Active
336,David Sills,WR,TB,1.58,Active
337,Greg Dortch,WR,DET,1.55,Active
338,Audric Estime,RB,NO,1.53,Active
339,Brevyn Spann-Ford,TE,DAL,1.53,Active
340,Matt Hibner,TE,BAL,1.52,Active
341,Seth McGowan,RB,IND,1.51,Active
342,Kaleb Johnson,RB,PIT,1.5,Active
343,Nate Boerkircher,TE,JAX,1.49,Active
344,Isaiah Williams,WR,NYJ,1.48,Active
345,Brenen Thompson,WR,LAC,1.46,Active
346,Jimmy Horn,WR,CAR,1.42,Active
347,Tyrell Shavers,WR,BUF,1.42,Questionable
348,Justin Fields,QB,KC,1.39,Active
349,Barion Brown,WR,NO,1.37,Active
350,George Holani,RB,SEA,1.36,Active
351,Devin Singletary,RB,NYG,1.34,Active
352,Tyler Badie,RB,DEN,1.31,Active
353,Tanner Koziol,TE,JAX,1.29,Active
354,Jaren Kanak,TE,TEN,1.23,Active
355,Brashard Smith,RB,KC,1.23,Active
356,Ty Chandler,RB,NO,1.22,Active
357,Kevin Austin,WR,NO,1.22,Active
358,Jeremy McNichols,RB,WAS,1.21,Active
359,Trey Benson,RB,ARI,1.17,Questionable
360,Roman Wilson,WR,PIT,1.13,Active
361,Isaac Guerendo,RB,SF,1.11,Questionable
362,Marquez Valdes-Scantling,WR,DAL,1.11,Active
363,J'Mari Taylor,RB,JAX,1.08,Active
364,Jam Miller,RB,NE,1.06,Active
365,Xavier Smith,WR,LAR,1.04,Active
366,Nick Mullens,QB,JAX,1.04,Active
367,Jaleel McLaughlin,RB,DEN,1.01,Active
